goos: linux
goarch: amd64
pkg: github.com/larsartmann/go-filewatcher/v2
cpu: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          
BenchmarkPassesFilters_ComplexFilterChain-32           	 9544029	       108.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/AllPass-32 	40089810	        29.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/AllPass-32 	40394536	        29.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/AllPass-32 	42029659	        29.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/AllPass-32 	34554156	        29.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/AllPass-32 	38095771	        30.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/AllPass-32 	39836209	        29.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/FirstRejects-32         	64047172	        18.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/FirstRejects-32         	58825320	        19.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/FirstRejects-32         	66681873	        18.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/FirstRejects-32         	63235420	        19.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/FirstRejects-32         	59607075	        18.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkPassesFilters_FilterAndManyFilters/FirstRejects-32         	66462400	        18.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuildMiddlewareHandler_NoMiddleware-32                     	40634689	        31.06 ns/op	      32 B/op	       2 allocs/op
BenchmarkBuildMiddlewareHandler_NoMiddleware-32                     	35465568	        29.46 ns/op	      32 B/op	       2 allocs/op
BenchmarkBuildMiddlewareHandler_NoMiddleware-32                     	37271001	        29.40 ns/op	      32 B/op	       2 allocs/op
BenchmarkBuildMiddlewareHandler_NoMiddleware-32                     	37193894	        31.06 ns/op	      32 B/op	       2 allocs/op
BenchmarkBuildMiddlewareHandler_NoMiddleware-32                     	40932730	        31.70 ns/op	      32 B/op	       2 allocs/op
BenchmarkBuildMiddlewareHandler_NoMiddleware-32                     	34305783	        31.99 ns/op	      32 B/op	       2 allocs/op
BenchmarkBuildMiddlewareHandler_SingleMiddleware-32                 	14784198	        80.92 ns/op	      88 B/op	       5 allocs/op
BenchmarkBuildMiddlewareHandler_SingleMiddleware-32                 	14852121	        81.64 ns/op	      88 B/op	       5 allocs/op
BenchmarkBuildMiddlewareHandler_SingleMiddleware-32                 	15659750	        81.37 ns/op	      88 B/op	       5 allocs/op
BenchmarkBuildMiddlewareHandler_SingleMiddleware-32                 	15225172	        82.90 ns/op	      88 B/op	       5 allocs/op
BenchmarkBuildMiddlewareHandler_SingleMiddleware-32                 	14343368	        74.51 ns/op	      88 B/op	       5 allocs/op
BenchmarkBuildMiddlewareHandler_SingleMiddleware-32                 	18011280	        71.36 ns/op	      88 B/op	       5 allocs/op
BenchmarkBuildMiddlewareHandler_ThreeMiddleware-32                  	 7338338	       164.6 ns/op	     216 B/op	      11 allocs/op
BenchmarkBuildMiddlewareHandler_ThreeMiddleware-32                  	 7323698	       164.4 ns/op	     216 B/op	      11 allocs/op
BenchmarkBuildMiddlewareHandler_ThreeMiddleware-32                  	 7756828	       175.0 ns/op	     216 B/op	      11 allocs/op
BenchmarkBuildMiddlewareHandler_ThreeMiddleware-32                  	 7123447	       170.2 ns/op	     216 B/op	      11 allocs/op
BenchmarkBuildMiddlewareHandler_ThreeMiddleware-32                  	 7173042	       161.4 ns/op	     216 B/op	      11 allocs/op
BenchmarkBuildMiddlewareHandler_ThreeMiddleware-32                  	 7270996	       165.3 ns/op	     216 B/op	      11 allocs/op
BenchmarkShouldSkipDir_DotDir-32                                    	803081095	         1.506 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DotDir-32                                    	784605603	         1.468 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DotDir-32                                    	804967178	         1.490 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DotDir-32                                    	781453722	         1.475 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DotDir-32                                    	827893143	         1.758 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DotDir-32                                    	711682450	         1.764 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DefaultIgnore-32                             	335886200	         3.938 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DefaultIgnore-32                             	345534925	         3.652 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DefaultIgnore-32                             	366292755	         3.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DefaultIgnore-32                             	362842039	         3.199 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DefaultIgnore-32                             	375365596	         3.216 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_DefaultIgnore-32                             	379602253	         3.201 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_CustomIgnore-32                              	139821972	         8.344 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_CustomIgnore-32                              	132238203	         9.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_CustomIgnore-32                              	100000000	        10.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_CustomIgnore-32                              	100000000	        10.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_CustomIgnore-32                              	143647249	         8.384 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_CustomIgnore-32                              	139438203	         8.857 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_Allowed-32                                   	129277843	         9.375 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_Allowed-32                                   	132385093	         9.124 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_Allowed-32                                   	127020435	         9.399 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_Allowed-32                                   	132619719	         9.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_Allowed-32                                   	136375546	         9.307 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldSkipDir_Allowed-32                                   	128433144	         9.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_Empty-32                                             	82143996	        17.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_Empty-32                                             	57603904	        20.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_Empty-32                                             	61773864	        18.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_Empty-32                                             	75369991	        17.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_Empty-32                                             	54156336	        19.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_Empty-32                                             	62600052	        19.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_WithPaths-32                                         	64910031	        17.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_WithPaths-32                                         	68978167	        17.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_WithPaths-32                                         	75993294	        16.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_WithPaths-32                                         	74418193	        16.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_WithPaths-32                                         	74788693	        16.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStats_WithPaths-32                                         	72727506	        16.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkWatchList_Copy-32                                          	 2548604	       708.9 ns/op	    1792 B/op	       1 allocs/op
BenchmarkWatchList_Copy-32                                          	 2360509	       460.2 ns/op	    1792 B/op	       1 allocs/op
BenchmarkWatchList_Copy-32                                          	 3771288	       315.4 ns/op	    1792 B/op	       1 allocs/op
BenchmarkWatchList_Copy-32                                          	 3426504	       324.8 ns/op	    1792 B/op	       1 allocs/op
BenchmarkWatchList_Copy-32                                          	 4215283	       348.4 ns/op	    1792 B/op	       1 allocs/op
BenchmarkWatchList_Copy-32                                          	 2749846	       410.8 ns/op	    1792 B/op	       1 allocs/op
BenchmarkEmitEvent_NoDebounce-32                                    	 6157843	       210.8 ns/op	     324 B/op	       7 allocs/op
BenchmarkEmitEvent_NoDebounce-32                                    	 5809636	       191.9 ns/op	     324 B/op	       7 allocs/op
BenchmarkEmitEvent_NoDebounce-32                                    	 6421892	       187.5 ns/op	     324 B/op	       7 allocs/op
BenchmarkEmitEvent_NoDebounce-32                                    	 6264716	       192.4 ns/op	     324 B/op	       7 allocs/op
BenchmarkEmitEvent_NoDebounce-32                                    	 6245625	       195.0 ns/op	     324 B/op	       7 allocs/op
BenchmarkEmitEvent_NoDebounce-32                                    	 6081300	       207.7 ns/op	     324 B/op	       7 allocs/op
BenchmarkEmitEvent_WithMiddleware-32                                	 2876752	       410.6 ns/op	     444 B/op	      13 allocs/op
BenchmarkEmitEvent_WithMiddleware-32                                	 3438092	       342.1 ns/op	     444 B/op	      13 allocs/op
BenchmarkEmitEvent_WithMiddleware-32                                	 3515480	       368.8 ns/op	     444 B/op	      13 allocs/op
BenchmarkEmitEvent_WithMiddleware-32                                	 2930743	       399.7 ns/op	     444 B/op	      13 allocs/op
BenchmarkEmitEvent_WithMiddleware-32                                	 2990544	       395.4 ns/op	     444 B/op	      13 allocs/op
BenchmarkEmitEvent_WithMiddleware-32                                	 3052612	       395.3 ns/op	     444 B/op	      13 allocs/op
BenchmarkEmitEvent_WithGlobalDebounce-32                            	 3578596	       332.5 ns/op	     376 B/op	       5 allocs/op
BenchmarkEmitEvent_WithGlobalDebounce-32                            	 3608922	       325.9 ns/op	     376 B/op	       5 allocs/op
BenchmarkEmitEvent_WithGlobalDebounce-32                            	 3996823	       297.8 ns/op	     376 B/op	       5 allocs/op
BenchmarkEmitEvent_WithGlobalDebounce-32                            	 4077362	       294.0 ns/op	     376 B/op	       5 allocs/op
BenchmarkEmitEvent_WithGlobalDebounce-32                            	 4150525	       296.5 ns/op	     376 B/op	       5 allocs/op
BenchmarkEmitEvent_WithGlobalDebounce-32                            	 4185604	       285.3 ns/op	     376 B/op	       5 allocs/op
BenchmarkEmitEvent_WithPerPathDebounce-32                           	 3436239	       343.7 ns/op	     416 B/op	       6 allocs/op
